Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size 
1609949747,0,,Aggregated,106.100000,0.000000,94,94,110,110,110,160,170,190,360,380,380,4582,0,94,92.34744652981038,0,375.0,14.00261894369271
1609949748,0,,Aggregated,106.100000,0.000000,94,94,110,110,110,160,170,190,360,380,380,4582,0,94,92.34744652981038,0,375.0,14.00261894369271
1609949749,0,,Aggregated,106.100000,0.000000,94,94,110,110,110,160,170,190,360,380,380,4582,0,94,92.34744652981038,0,375.0,14.00261894369271
1609949750,0,,Aggregated,106.100000,0.000000,94,94,110,110,110,160,170,190,360,380,380,4582,0,94,92.34744652981038,0,375.0,14.00261894369271
1609949751,0,,Aggregated,106.100000,0.000000,94,94,110,110,110,160,170,190,360,380,380,4582,0,94,92.34744652981038,0,375.0,14.00261894369271
1609949752,0,,Aggregated,106.100000,0.000000,94,94,110,110,110,160,170,190,360,380,380,4582,0,94,92.34744652981038,0,375.0,14.00261894369271
1609949753,0,,Aggregated,106.100000,0.000000,94,94,110,110,110,160,170,190,360,380,380,4582,0,94,92.34744652981038,0,375.0,14.00261894369271
1609949754,0,,Aggregated,106.100000,0.000000,94,94,110,110,110,160,170,190,360,380,380,4582,0,94,92.34744652981038,0,375.0,14.00261894369271
1609949755,0,,Aggregated,106.100000,0.000000,94,94,110,110,110,160,170,190,360,380,380,4582,0,94,92.34744652981038,0,375.0,14.00261894369271
1609949756,0,,Aggregated,106.100000,0.000000,94,94,110,110,110,160,170,190,360,380,380,4582,0,94,92.34744652981038,0,375.0,14.00261894369271
1609949757,0,,Aggregated,106.100000,0.000000,94,94,110,110,110,160,170,190,360,380,380,4582,0,94,92.34744652981038,0,375.0,14.00261894369271
1609949758,0,,Aggregated,106.100000,0.000000,94,94,110,110,110,160,170,190,360,380,380,4582,0,94,92.34744652981038,0,375.0,14.00261894369271
1609949759,0,,Aggregated,106.100000,0.000000,94,94,110,110,110,160,170,190,360,380,380,4582,0,94,92.34744652981038,0,375.0,14.00261894369271
