timestamp,__name__,container,endpoint,instance,job,namespace,node,pod,service,value,id,image,metrics_path,name,deployment,control_plane_component,control_plane_ns,direction,no_tls_reason,pod_template_hash,status_code,tls,workload_ns,client_id,authority,dst_control_plane_ns,dst_deployment,dst_namespace,dst_pod,dst_pod_template_hash,dst_serviceaccount,server_id,app,run,dst_service
1614843210.101,response_latency_ms_count,,,10.1.37.198:4191,linkerd-proxy,linkerd,,linkerd-prometheus-5bccd64d4d-jzwmt,,43,,,,,linkerd-prometheus,prometheus,linkerd,outbound,,5bccd64d4d,200,true,linkerd,,10.1.40.245:4191,linkerd,teastore-webui,teastore,teastore-webui-56df9699d5-xbtn6,56df9699d5,default,default.teastore.serviceaccount.identity.linkerd.cluster.local,,,
1614843220.101,response_latency_ms_count,,,10.1.37.198:4191,linkerd-proxy,linkerd,,linkerd-prometheus-5bccd64d4d-jzwmt,,44,,,,,linkerd-prometheus,prometheus,linkerd,outbound,,5bccd64d4d,200,true,linkerd,,10.1.40.245:4191,linkerd,teastore-webui,teastore,teastore-webui-56df9699d5-xbtn6,56df9699d5,default,default.teastore.serviceaccount.identity.linkerd.cluster.local,,,
1614843230.102,response_latency_ms_count,,,10.1.37.198:4191,linkerd-proxy,linkerd,,linkerd-prometheus-5bccd64d4d-jzwmt,,45,,,,,linkerd-prometheus,prometheus,linkerd,outbound,,5bccd64d4d,200,true,linkerd,,10.1.40.245:4191,linkerd,teastore-webui,teastore,teastore-webui-56df9699d5-xbtn6,56df9699d5,default,default.teastore.serviceaccount.identity.linkerd.cluster.local,,,
1614843240.101,response_latency_ms_count,,,10.1.37.198:4191,linkerd-proxy,linkerd,,linkerd-prometheus-5bccd64d4d-jzwmt,,46,,,,,linkerd-prometheus,prometheus,linkerd,outbound,,5bccd64d4d,200,true,linkerd,,10.1.40.245:4191,linkerd,teastore-webui,teastore,teastore-webui-56df9699d5-xbtn6,56df9699d5,default,default.teastore.serviceaccount.identity.linkerd.cluster.local,,,
1614843250.103,response_latency_ms_count,,,10.1.37.198:4191,linkerd-proxy,linkerd,,linkerd-prometheus-5bccd64d4d-jzwmt,,47,,,,,linkerd-prometheus,prometheus,linkerd,outbound,,5bccd64d4d,200,true,linkerd,,10.1.40.245:4191,linkerd,teastore-webui,teastore,teastore-webui-56df9699d5-xbtn6,56df9699d5,default,default.teastore.serviceaccount.identity.linkerd.cluster.local,,,
1614843260.101,response_latency_ms_count,,,10.1.37.198:4191,linkerd-proxy,linkerd,,linkerd-prometheus-5bccd64d4d-jzwmt,,48,,,,,linkerd-prometheus,prometheus,linkerd,outbound,,5bccd64d4d,200,true,linkerd,,10.1.40.245:4191,linkerd,teastore-webui,teastore,teastore-webui-56df9699d5-xbtn6,56df9699d5,default,default.teastore.serviceaccount.identity.linkerd.cluster.local,,,
1614843270.101,response_latency_ms_count,,,10.1.37.198:4191,linkerd-proxy,linkerd,,linkerd-prometheus-5bccd64d4d-jzwmt,,49,,,,,linkerd-prometheus,prometheus,linkerd,outbound,,5bccd64d4d,200,true,linkerd,,10.1.40.245:4191,linkerd,teastore-webui,teastore,teastore-webui-56df9699d5-xbtn6,56df9699d5,default,default.teastore.serviceaccount.identity.linkerd.cluster.local,,,
1614843280.101,response_latency_ms_count,,,10.1.37.198:4191,linkerd-proxy,linkerd,,linkerd-prometheus-5bccd64d4d-jzwmt,,50,,,,,linkerd-prometheus,prometheus,linkerd,outbound,,5bccd64d4d,200,true,linkerd,,10.1.40.245:4191,linkerd,teastore-webui,teastore,teastore-webui-56df9699d5-xbtn6,56df9699d5,default,default.teastore.serviceaccount.identity.linkerd.cluster.local,,,
1614843290.101,response_latency_ms_count,,,10.1.37.198:4191,linkerd-proxy,linkerd,,linkerd-prometheus-5bccd64d4d-jzwmt,,51,,,,,linkerd-prometheus,prometheus,linkerd,outbound,,5bccd64d4d,200,true,linkerd,,10.1.40.245:4191,linkerd,teastore-webui,teastore,teastore-webui-56df9699d5-xbtn6,56df9699d5,default,default.teastore.serviceaccount.identity.linkerd.cluster.local,,,
1614843300.101,response_latency_ms_count,,,10.1.37.198:4191,linkerd-proxy,linkerd,,linkerd-prometheus-5bccd64d4d-jzwmt,,52,,,,,linkerd-prometheus,prometheus,linkerd,outbound,,5bccd64d4d,200,true,linkerd,,10.1.40.245:4191,linkerd,teastore-webui,teastore,teastore-webui-56df9699d5-xbtn6,56df9699d5,default,default.teastore.serviceaccount.identity.linkerd.cluster.local,,,
